region,compartment,instanceId,displayName,shape,agentInstalled,cpu_day_avg,cpu_day_p95,cpu_day_p99,cpu_day_max,cpu_day_samples,cpu_week_avg,cpu_week_p95,cpu_week_p99,cpu_week_max,cpu_week_samples,cpu_month_avg,cpu_month_p95,cpu_month_p99,cpu_month_max,cpu_month_samples,note
ap-melbourne-1,global,ocid1.instance.oc1.ap-melbourne-1.anwwkljrk475dqqctd7xi36yrhaa5d4n36p7zfm7hvnh6n6wyau7tysk6f7a,nats-worker-mel-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
il-jerusalem-1,global,ocid1.instance.oc1.il-jerusalem-1.anwxiljrk475dqqc4rkz4vnoonqzt7omwxksg2smdqqyd4eow5oenw774pca,nats-worker-mtz-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-turin-1,global,ocid1.instance.oc1.eu-turin-1.ansgsljrk475dqqcq6mf55o5ftqtnnyewth52mpespj7qqbuiwyden24y7iq,nats-worker-nrq-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
us-phoenix-1,global,ocid1.instance.oc1.phx.anyhqljtk475dqqcanqllce7hy2ovlqyzihmxsxla3evv64ghon32pxqd7fq,nats-worker-phx-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
ca-toronto-1,global,ocid1.instance.oc1.ca-toronto-1.an2g6ljrk475dqqcotntnvutjzlqnmohkxhhpuouhdb5n4ntjvy6zlrezr5q,nats-worker-yyz-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
sa-bogota-1,global,ocid1.instance.oc1.sa-bogota-1.anrgcljrk475dqqcycbfetwbyjxgeslod325dbrqdmaov6un6yd7uoxzy3sq,nats-worker-bog-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
uk-london-1,global,ocid1.instance.oc1.uk-london-1.anwgiljrk475dqqcacrv5qlkdf3nu72netsbondwocwhafthsgx374bfzgoq,nats-worker-lhr-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
sa-santiago-1,global,ocid1.instance.oc1.sa-santiago-1.anzwgljrk475dqqclwdd5nrqgsbkddr6nnie3manvbsljyej5d5sklwwsm6a,nats-worker-scl-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
us-sanjose-1,global,ocid1.instance.oc1.us-sanjose-1.anzwuljrk475dqqc3uox3mvtrnpe3ztl3hti5urfkijkffyjc35ugrqzjveq,generic-priv-instance-sjc-0,VM.Standard.E5.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
me-dubai-1,global,ocid1.instance.oc1.me-dubai-1.anshqljrk475dqqcxpyus4uxitgx3kgrfze5alsf6naqazrnicuvnltqpbdq,nats-worker-dxb-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-milan-1,global,ocid1.instance.oc1.eu-milan-1.anwgsljrk475dqqcsvtga3liaajmmehegsdblffjnjzo2nfm2ha3dx2paxga,nats-worker-lin-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
eu-madrid-1,global,ocid1.instance.oc1.eu-madrid-1.anwwcljrk475dqqcbb33boysxaza44kj57324jbtcyv4pszpva37jnyt2jla,nats-worker-mad-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
ap-tokyo-1,global,ocid1.instance.oc1.ap-tokyo-1.anxhiljrk475dqqcxn4rmf224ruv7xvdncd53tb3fv2buhok2jefbe42yhha,nats-worker-nrt-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
sa-valparaiso-1,global,ocid1.instance.oc1.sa-valparaiso-1.an3gcljrk475dqqchzmrft33j3fbfcfw7rxxh2ku3mqcrbug7ypqhfr2y4dq,nats-worker-vap-0,VM.Standard.A1.Flex,true,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,
